GENERATION_PROJECT	PERIOD	extraction_share_lb	extraction_share_ub
Mines_Coal_Surface	2020	0.64	0.66
Mines_Coal_Surface	2022	0.6006	0.704
Mines_Coal_Surface	2025	0.5652	0.7262
Mines_Coal_Surface	2030	0.5333	0.7462
Mines_Coal_Surface	2035	0.5046	0.7642
Mines_Coal_Surface	2040	0.4787	0.7805
Mines_Coal_Surface	2045	0.4555	0.795
Mines_Coal_Surface	2050	0.4345	0.8082
Mines_Coal_Surface	2055	0.4157	0.82
Mines_Coal_Surface	2060	0.3987	0.8306
Mines_Coal_Surface	2065	0.3835	0.8402
Mines_Coal_Surface	2070	0.3697	0.8488
Mines_Coal_Surface	2075	0.3574	0.8566
Mines_Coal_Surface	2080	0.3463	0.8635
Mines_Coal_Surface	2085	0.3363	0.8698
Mines_Coal_Surface	2090	0.3272	0.8755
Mines_Coal_Surface	2095	0.3191	0.8805
Wells_Offshore_Gas	2020	0.05	0.07
Wells_Offshore_Gas	2022	0.0469	0.0747
Wells_Offshore_Gas	2025	0.0442	0.0789
Wells_Offshore_Gas	2030	0.0417	0.0826
Wells_Offshore_Gas	2035	0.0394	0.086
Wells_Offshore_Gas	2040	0.0374	0.0891
Wells_Offshore_Gas	2045	0.0356	0.0919
Wells_Offshore_Gas	2050	0.0339	0.0943
Wells_Offshore_Gas	2055	0.0325	0.0966
Wells_Offshore_Gas	2060	0.0312	0.0986
Wells_Offshore_Gas	2065	0.03	0.1004
Wells_Offshore_Gas	2070	0.0289	0.102
Wells_Offshore_Gas	2075	0.0279	0.1035
Wells_Offshore_Gas	2080	0.0271	0.1048
Wells_Offshore_Gas	2085	0.0263	0.106
Wells_Offshore_Gas	2090	0.0256	0.1071
Wells_Offshore_Gas	2095	0.0249	0.108
Wells_Offshore_Oil	2020	0.19	0.21
Wells_Offshore_Oil	2022	0.1783	0.224
Wells_Offshore_Oil	2025	0.1678	0.2366
Wells_Offshore_Oil	2030	0.1583	0.2479
Wells_Offshore_Oil	2035	0.1498	0.2581
Wells_Offshore_Oil	2040	0.1421	0.2673
Wells_Offshore_Oil	2045	0.1352	0.2756
Wells_Offshore_Oil	2050	0.129	0.283
Wells_Offshore_Oil	2055	0.1234	0.2897
Wells_Offshore_Oil	2060	0.1184	0.2958
Wells_Offshore_Oil	2065	0.1138	0.3012
Wells_Offshore_Oil	2070	0.1098	0.3061
Wells_Offshore_Oil	2075	0.1061	0.3105
Wells_Offshore_Oil	2080	0.1028	0.3144
Wells_Offshore_Oil	2085	0.0998	0.318
Wells_Offshore_Oil	2090	0.0972	0.3212
Wells_Offshore_Oil	2095	0.0947	0.3241
Wells_Shale_Gas	2020	0.3	0.4
Wells_Shale_Gas	2022	0.2815	0.4267
Wells_Shale_Gas	2025	0.2649	0.4507
Wells_Shale_Gas	2030	0.25	0.4723
Wells_Shale_Gas	2035	0.2365	0.4917
Wells_Shale_Gas	2040	0.2244	0.5092
Wells_Shale_Gas	2045	0.2135	0.5249
Wells_Shale_Gas	2050	0.2037	0.5391
Wells_Shale_Gas	2055	0.1949	0.5519
Wells_Shale_Gas	2060	0.1869	0.5634
Wells_Shale_Gas	2065	0.1798	0.5737
Wells_Shale_Gas	2070	0.1733	0.583
Wells_Shale_Gas	2075	0.1675	0.5914
Wells_Shale_Gas	2080	0.1623	0.5989
Wells_Shale_Gas	2085	0.1576	0.6057
Wells_Shale_Gas	2090	0.1534	0.6118
Wells_Shale_Gas	2095	0.1496	0.6173
Wells_Shale_Oil	2020	0.3	0.4
Wells_Shale_Oil	2022	0.2815	0.4267
Wells_Shale_Oil	2025	0.2649	0.4507
Wells_Shale_Oil	2030	0.25	0.4723
Wells_Shale_Oil	2035	0.2365	0.4917
Wells_Shale_Oil	2040	0.2244	0.5092
Wells_Shale_Oil	2045	0.2135	0.5249
Wells_Shale_Oil	2050	0.2037	0.5391
Wells_Shale_Oil	2055	0.1949	0.5519
Wells_Shale_Oil	2060	0.1869	0.5634
Wells_Shale_Oil	2065	0.1798	0.5737
Wells_Shale_Oil	2070	0.1733	0.583
Wells_Shale_Oil	2075	0.1675	0.5914
Wells_Shale_Oil	2080	0.1623	0.5989
Wells_Shale_Oil	2085	0.1576	0.6057
Wells_Shale_Oil	2090	0.1534	0.6118
Wells_Shale_Oil	2095	0.1496	0.6173
