GEN_BLD_YRS_1	GEN_BLD_YRS_2	gen_overnight_cost	gen_fixed_om
Oahu_AES	1992	0	0
Oahu_Airport_DSG	2013	0	0
Oahu_CC_152	2020	0	0
Oahu_CC_152	2022	0	0
Oahu_CC_152	2025	0	0
Oahu_CC_152	2030	0	0
Oahu_CC_152	2035	0	0
Oahu_CC_152	2040	0	0
Oahu_CC_Kahe4_Generic	2020	0	0
Oahu_CC_Kahe4_Generic	2022	0	0
Oahu_CC_Kahe4_Generic	2025	0	0
Oahu_CC_Kahe4_Generic	2030	0	0
Oahu_CC_Kahe4_Generic	2035	0	0
Oahu_CC_Kahe4_Generic	2040	0	0
Oahu_CC_Kahe5_Generic	2020	0	0
Oahu_CC_Kahe5_Generic	2022	0	0
Oahu_CC_Kahe5_Generic	2025	0	0
Oahu_CC_Kahe5_Generic	2030	0	0
Oahu_CC_Kahe5_Generic	2035	0	0
Oahu_CC_Kahe5_Generic	2040	0	0
Oahu_CC_Kahe6_Generic	2020	0	0
Oahu_CC_Kahe6_Generic	2022	0	0
Oahu_CC_Kahe6_Generic	2025	0	0
Oahu_CC_Kahe6_Generic	2030	0	0
Oahu_CC_Kahe6_Generic	2035	0	0
Oahu_CC_Kahe6_Generic	2040	0	0
Oahu_CIP_CT	2009	0	0
Oahu_CentralTrackingPV_PV_01	2016	0	0
Oahu_CentralTrackingPV_PV_01	2020	0	0
Oahu_CentralTrackingPV_PV_01	2022	0	0
Oahu_CentralTrackingPV_PV_01	2025	0	0
Oahu_CentralTrackingPV_PV_01	2030	0	0
Oahu_CentralTrackingPV_PV_01	2035	0	0
Oahu_CentralTrackingPV_PV_01	2040	0	0
Oahu_CentralTrackingPV_PV_02	2020	0	0
Oahu_CentralTrackingPV_PV_02	2022	0	0
Oahu_CentralTrackingPV_PV_02	2025	0	0
Oahu_CentralTrackingPV_PV_02	2030	0	0
Oahu_CentralTrackingPV_PV_02	2035	0	0
Oahu_CentralTrackingPV_PV_02	2040	0	0
Oahu_CentralTrackingPV_PV_03	2020	0	0
Oahu_CentralTrackingPV_PV_03	2022	0	0
Oahu_CentralTrackingPV_PV_03	2025	0	0
Oahu_CentralTrackingPV_PV_03	2030	0	0
Oahu_CentralTrackingPV_PV_03	2035	0	0
Oahu_CentralTrackingPV_PV_03	2040	0	0
Oahu_CentralTrackingPV_PV_04	2012	0	0
Oahu_CentralTrackingPV_PV_04	2020	0	0
Oahu_CentralTrackingPV_PV_04	2022	0	0
Oahu_CentralTrackingPV_PV_04	2025	0	0
Oahu_CentralTrackingPV_PV_04	2030	0	0
Oahu_CentralTrackingPV_PV_04	2035	0	0
Oahu_CentralTrackingPV_PV_04	2040	0	0
Oahu_CentralTrackingPV_PV_05	2020	0	0
Oahu_CentralTrackingPV_PV_05	2022	0	0
Oahu_CentralTrackingPV_PV_05	2025	0	0
Oahu_CentralTrackingPV_PV_05	2030	0	0
Oahu_CentralTrackingPV_PV_05	2035	0	0
Oahu_CentralTrackingPV_PV_05	2040	0	0
Oahu_CentralTrackingPV_PV_06	2020	0	0
Oahu_CentralTrackingPV_PV_06	2022	0	0
Oahu_CentralTrackingPV_PV_06	2025	0	0
Oahu_CentralTrackingPV_PV_06	2030	0	0
Oahu_CentralTrackingPV_PV_06	2035	0	0
Oahu_CentralTrackingPV_PV_06	2040	0	0
Oahu_CentralTrackingPV_PV_07	2020	0	0
Oahu_CentralTrackingPV_PV_07	2022	0	0
Oahu_CentralTrackingPV_PV_07	2025	0	0
Oahu_CentralTrackingPV_PV_07	2030	0	0
Oahu_CentralTrackingPV_PV_07	2035	0	0
Oahu_CentralTrackingPV_PV_07	2040	0	0
Oahu_CentralTrackingPV_PV_08	2020	0	0
Oahu_CentralTrackingPV_PV_08	2022	0	0
