GENERATION_PROJECT	extraction_binary	transportation1_binary	transportation2_binary	extraction_binary_offshore	transportation1_binary_offshore	transportation2_binary_offshore	extraction_binary_shale	extraction_binary_surface
Oahu_AES	0	0	0	0	0	0	0	0
Oahu_Airport_DSG	0	0	0	0	0	0	0	0
Oahu_CC_152	0	0	0	0	0	0	0	0
Oahu_CIP_CT	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_01	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_02	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_03	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_04	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_05	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_06	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_07	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_08	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_09	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_10	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_11	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_12	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_13	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_14	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_15	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_16	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_17	0	0	0	0	0	0	0	0
Oahu_CentralTrackingPV_PV_18	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_0	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_1	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_10	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_11	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_12	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_13	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_14	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_15	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_16	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_17	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_18	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_19	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_2	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_3	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_4	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_5	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_6	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_7	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_8	0	0	0	0	0	0	0	0
Oahu_DistPV_Oahu_DistPV_9	0	0	0	0	0	0	0	0
Oahu_H-Power	0	0	0	0	0	0	0	0
Oahu_IC_Barge	0	0	0	0	0	0	0	0
Oahu_IC_MCBH	0	0	0	0	0	0	0	0
Oahu_IC_Schofield	0	0	0	0	0	0	0	0
Oahu_Kahe_4	0	0	0	0	0	0	0	0
Oahu_Kahe_5	0	0	0	0	0	0	0	0
Oahu_Kahe_6	0	0	0	0	0	0	0	0
Oahu_Kalaeloa_CC1	0	0	0	0	0	0	0	0
Oahu_Kalaeloa_CC2	0	0	0	0	0	0	0	0
Oahu_Kalaeloa_CC3	0	0	0	0	0	0	0	0
Oahu_OffshoreWind_OffWind	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_101	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_102	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_103	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_104	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_105	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_106	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_107	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_201	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_202	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_203	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_204	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_205	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_206	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_207	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_208	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_209	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_301	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_302	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_303	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_304	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_305	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_306	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_307	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_308	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_309	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_401	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_402	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_403	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_404	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_405	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_406	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_407	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_408	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_409	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_410	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_501	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_502	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_503	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_504	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_505	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_506	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_507	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_508	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_509	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_Kahuku	0	0	0	0	0	0	0	0
Oahu_OnshoreWind_OnWind_Kawailoa	0	0	0	0	0	0	0	0
Oahu_Waiau_10	0	0	0	0	0	0	0	0
Oahu_Waiau_3	0	0	0	0	0	0	0	0
Oahu_Waiau_4	0	0	0	0	0	0	0	0
Oahu_Waiau_5	0	0	0	0	0	0	0	0
Oahu_Waiau_6	0	0	0	0	0	0	0	0
Oahu_Waiau_7	0	0	0	0	0	0	0	0
Oahu_Waiau_8	0	0	0	0	0	0	0	0
Oahu_Waiau_9	0	0	0	0	0	0	0	0
